prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
Menara Geno,2015,1099,Subang Jaya,Apartment,1,,1,430,Fully Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
D'Aman Residences,2013,1099,Puchong,Condominium,3,2,2,1076,Partially Furnished,"Squash Court, Jogging Track, Multipurpose hall, Security, Swimming Pool, Gymnasium, Playground, Minimart, Club house, Tennis Court, Sauna, Barbeque area, Lift, Parking","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Selangor
Bayu Puteri,2004,1099,Petaling Jaya,Apartment,3,1,2,845,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",Cooking Allowed,Selangor
D'Aman Residences,2013,1099,Puchong,Condominium,3,2,2,1076,Partially Furnished,"Squash Court, Jogging Track, Multipurpose hall, Security, Swimming Pool, Gymnasium, Playground, Minimart, Club house, Tennis Court, Sauna, Barbeque area, Lift, Parking","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Selangor
Casa Mila,1991,1099,Selayang,Condominium,3,1,2,1181,Not Furnished,"Squash Court, Playground, Jogging Track, Security, Swimming Pool, Barbeque area, Tennis Court, Parking, Minimart",,Selangor
Amara Service Residences,2014,1099,Batu Caves,Service Residence,3,2,2,859,Not Furnished,"Swimming Pool, Gymnasium, Barbeque area, Security, Minimart, Sauna, Playground, Parking, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor
Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,2,650,Not Furnished,"Jogging Track, Parking, Security, Playground, Barbeque area, Gymnasium, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur
Prisma Cheras,,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",,Kuala Lumpur
1 Petaling,2012,1100,Sungai Besi,Condominium,3,1,2,904,Partially Furnished,"Jogging Track, Swimming Pool, Playground, Security, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,2,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,2,,2,650,Partially Furnished,"Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area",,Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,2,,2,650,Not Furnished,"Gymnasium, Jogging Track, Lift, Playground, Parking, Security, Swimming Pool, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Genting Court Condominium,1995,1100,Setapak,Condominium,3,1,2,820,Partially Furnished,"Minimart, Parking, Security, Lift, Swimming Pool, Playground, Club house, Tennis Court","Air-Cond, Cooking Allowed",Kuala Lumpur
Flat Taman Bukit Angkasa,,1100,Bangsar South,Flat,3,,1,750,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Cheras Business Centre,,1100,Cheras,Apartment,3,,2,625,Not Furnished,,Cooking Allowed,Kuala Lumpur
Teratai Mewah Apartment,,1100,Setapak,Apartment,3,,1,653,Fully Furnished,"Security, Playground, Parking, Lift, Barbeque area, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Minimart, Swimming Pool, Playground","Near KTM/LRT, Cooking Allowed, Air-Cond",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Minimart, Swimming Pool, Playground","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,932,Partially Furnished,Parking,,Kuala Lumpur
Seksyen 2 Wangsa Maju Flat Block D,,1100,Wangsa Maju,Flat,2,,1,550,Not Furnished,,Near KTM/LRT,Kuala Lumpur
"SkyAwani 3 Residence, Setapak",2021,1100,Setapak,Condominium,3,1,2,800,Partially Furnished,"Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Barbeque area, Parking, Security, Squash Court, Sauna, Minimart, Playground, Lift",Near KTM/LRT,Kuala Lumpur
Pandan Heights Condominium,,1100,Cheras,Condominium,3,,3,988,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Jogging Track","Near KTM/LRT, Internet",Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),,1100,Cheras,Apartment,3,,2,935,Partially Furnished,"Parking, Security, Lift, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Cooking Allowed,Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Minimart, Multipurpose hall, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,800,Partially Furnished,"Lift, Security, Parking, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Razakmas,,1100,Cheras,Apartment,3,1,2,800,Partially Furnished,,,Kuala Lumpur
Titiwangsa Sentral,2011,1100,Titiwangsa,Condominium,4,,2,850,Fully Furnished,"Security, Playground, Barbeque area, Swimming Pool, Gymnasium, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
,,1100,Mont Kiara,Service Residence,1,1,1,1016,Fully Furnished,"Playground, Lift, Barbeque area, Security, Minimart, Gymnasium, Swimming Pool, Jogging Track, Parking","Air-Cond, Cooking Allowed, Washing Machine, Internet, Near KTM/LRT",Kuala Lumpur
Dallas villa,,1100,Pandan Perdana,Condominium,3,1,2,988,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Cooking Allowed,Kuala Lumpur
Ketumbar Hill,,1100,Cheras,Condominium,3,1,2,865,Not Furnished,,,Kuala Lumpur
The Scott Garden,2011,1100,Old Klang Road,Duplex,1,1,2,775,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Dahlia Apartment (Ampang),,1100,Ampang,Apartment,3,,2,850,Not Furnished,"Club house, Swimming Pool, Tennis Court, Minimart, Squash Court, Security, Playground, Gymnasium, Barbeque area","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Glen View Villa,,1100,Cheras,Condominium,3,1,2,1138,Not Furnished,"Parking, Swimming Pool, Security, Lift, Playground",Cooking Allowed,Kuala Lumpur
Winner Heights,,1100,Desa Petaling,Condominium,3,1,2,800,Not Furnished,"Parking, Playground, Swimming Pool, Barbeque area, Security, Minimart, Tennis Court, Gymnasium",Cooking Allowed,Kuala Lumpur
Menara Polo,,1100,Desa Pandan,Condominium,1,,1,650,Fully Furnished,"Security, Sauna, Parking, Gymnasium, Squash Court, Barbeque area, Playground, Swimming Pool, Tennis Court",,Kuala Lumpur
Suria Kipark Damansara,2009,1100,Kepong,Apartment,3,1,2,948,Not Furnished,"Playground, Security, Swimming Pool, Minimart, Lift, Parking",Air-Cond,Kuala Lumpur
Tiara Hatamas,,1100,Cheras,Condominium,3,1,2,932,Partially Furnished,"Playground, Jogging Track, Barbeque area, Security, Swimming Pool, Lift, Parking, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Security, Parking, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Brem Park 1,1980,1100,Old Klang Road,Condominium,3,1,2,1100,Fully Furnished,"Security, Minimart, Squash Court, Barbeque area, Swimming Pool, Jogging Track, Parking, Playground, Club house, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Spring Villa Apartment,,1100,Ampang,Apartment,3,1,2,750,Partially Furnished,"Parking, Security",,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Parking, Playground, Multipurpose hall, Swimming Pool, Security, Minimart",,Kuala Lumpur
Laman Midah,,1100,Cheras,Condominium,3,,2,800,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area","Air-Cond, Near KTM/LRT",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,2,2,800,Not Furnished,Parking,Cooking Allowed,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,2,2,810,Not Furnished,"Swimming Pool, Multipurpose hall, Minimart, Security, Playground, Parking",,Kuala Lumpur
,,1100,Sentul,Apartment,3,1,2,838,Not Furnished,"Parking, Security, Lift, Playground, Minimart, Jogging Track, Multipurpose hall","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Dorchester,2003,1100,Sri Hartamas,Service Residence,1,,1,410,Fully Furnished,"Gymnasium, Barbeque area, Sauna, Parking, Security, Minimart, Swimming Pool, Lift, Playground, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Le Chateau,,1100,Seputeh,Condominium,2,1,2,756,Partially Furnished,"Playground, Parking, Security, Jogging Track",,Kuala Lumpur
Villa Mutiara @ Mutiara Complex,,1100,Jalan Ipoh,Apartment,3,2,2,900,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
M Centura,,1100,Sentul,Condominium,2,1,1,646,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
VIM 3 @ Desa Park North,2018,1100,Kepong,Service Residence,2,,1,461,Not Furnished,,,Kuala Lumpur
Perdana Villa Deluxe,,1100,Cheras,Apartment,3,1,2,800,Not Furnished,"Security, Parking",,Kuala Lumpur
Idaman Sutera,,1100,Setapak,Condominium,3,1,2,845,Partially Furnished,"Barbeque area, Parking, Minimart, Jogging Track, Playground, Tennis Court, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,805,Not Furnished,"Parking, Lift, Playground, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Security, Minimart, Tennis Court, Parking, Gymnasium, Lift, Swimming Pool, Jogging Track, Playground, Squash Court",,Kuala Lumpur
Dahlia Apartment,,1100,Pandan Indah,Duplex,3,,2,850,Not Furnished,"Parking, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sri Pelangi (Jalan Genting Kelang),2003,1100,Setapak,Condominium,3,1,2,927,Partially Furnished,"Security, Lift",,Kuala Lumpur
1 Razak Mansion,,1100,Sungai Besi,Condominium,3,1,2,800,Not Furnished,"Multipurpose hall, Lift","Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
Kondo Rakyat (Bangsar South),,1100,Bangsar South,Apartment,3,1,1,700,Partially Furnished,"Parking, Sauna, Minimart, Swimming Pool, Lift","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Sentul Utama Condominium,2009,1100,Sentul,Condominium,3,1,2,877,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Jogging Track, Barbeque area, Tennis Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi Razakmas,,1100,Cheras,Apartment,3,,2,800,Not Furnished,"Parking, Security, Lift, Playground, Minimart",Near KTM/LRT,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,"Tennis Court, Parking, Jogging Track, Security, Minimart, Playground, Gymnasium, Lift, Squash Court, Swimming Pool","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Kelumpuk Pinang,,1100,Setiawangsa,Flat,2,,1,600,Not Furnished,"Parking, Security, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,2,650,Not Furnished,"Barbeque area, Swimming Pool, Jogging Track, Playground, Lift, Parking, Gymnasium, Security",,Kuala Lumpur
Pantai Permai,,1100,Bangsar South,Apartment,3,,2,650,Fully Furnished,,,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,1,2,962,Partially Furnished,"Parking, Security, Tennis Court, Gymnasium, Playground, Squash Court, Jogging Track, Minimart, Swimming Pool, Lift",Near KTM/LRT,Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,2,2,800,Partially Furnished,"Minimart, Parking, Security, Multipurpose hall",,Kuala Lumpur
Central Residence @ Sg Besi,2015,1100,Sungai Besi,Service Residence,2,,1,565,Partially Furnished,"Swimming Pool, Gymnasium, Multipurpose hall, Barbeque area, Security, Playground, Sauna",,Kuala Lumpur
Spring Villa Apartment,,1100,Ampang,Apartment,3,1,2,750,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium",Cooking Allowed,Kuala Lumpur
Suria Kipark Damansara,2009,1100,Kepong,Apartment,3,1,2,945,Partially Furnished,"Security, Minimart, Playground, Swimming Pool",Washing Machine,Kuala Lumpur
Pangsapuri Seri Gembira,,1100,Segambut,Apartment,3,1,2,850,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground",Air-Cond,Kuala Lumpur
Apartment Cuepacs,,1100,Brickfields,Apartment,1,,1,550,Fully Furnished,,"Cooking Allowed, Washing Machine",Kuala Lumpur
Puncak Banyan,2007,1100,Cheras,Condominium,3,1,2,810,Fully Furnished,"Security, Swimming Pool, Minimart, Parking",Air-Cond,Kuala Lumpur
Casa Magna,,1100,Kepong,Condominium,3,1,2,1010,Not Furnished,"Parking, Swimming Pool, Security, Barbeque area, Playground, Lift, Minimart",Cooking Allowed,Kuala Lumpur
Brem Park 1,1980,1100,Old Klang Road,Condominium,3,1,2,957,Not Furnished,"Parking, Squash Court, Jogging Track, Security, Minimart, Playground, Barbeque area, Club house, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Perdana Villa Deluxe,,1100,Cheras,Apartment,3,1,2,806,Partially Furnished,"Parking, Security, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Impiana Sky Residensi,2021,1100,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Playground, Gymnasium, Parking, Security",Near KTM/LRT,Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,1,2,800,Not Furnished,"Parking, Minimart, Multipurpose hall, Security, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Impiana Sky Residensi,2021,1100,Bukit Jalil,Apartment,3,1,2,850,Partially Furnished,"Security, Multipurpose hall, Gymnasium, Parking, Playground","Near KTM/LRT, Cooking Allowed",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall",Near KTM/LRT,Kuala Lumpur
Pandan Perdana,,1100,Ampang,Apartment,3,,1,720,Partially Furnished,,,Kuala Lumpur
Antara Residence,,1100,Others,Service Residence,3,1,2,796,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium",Cooking Allowed,Kuala Lumpur
,,1100,Cheras,Condominium,3,1,2,865,Not Furnished,"Parking, Minimart, Playground, Jogging Track, Security, Swimming Pool",,Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,,2,800,Not Furnished,"Multipurpose hall, Minimart, Parking, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
,,1100,Sentul,Apartment,3,,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
,,1100,Bangsar,Apartment,3,,2,850,Partially Furnished,"Parking, Security, Swimming Pool, Playground, Minimart, Multipurpose hall",,Kuala Lumpur
Wangsa Heights,2001,1100,Ampang,Condominium,3,1,1,958,Partially Furnished,"Swimming Pool, Security, Gymnasium, Parking, Lift, Multipurpose hall",,Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,2,900,Partially Furnished,"Swimming Pool, Lift, Parking, Jogging Track, Barbeque area, Playground, Gymnasium, Security","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
OUG Parklane,,1100,OUG,Service Residence,3,1,2,950,Partially Furnished,"Squash Court, Parking, Security, Minimart, Playground, Swimming Pool, Sauna","Cooking Allowed, Near KTM/LRT, Air-Cond",Kuala Lumpur
Petaling Indah Condominiums,2005,1100,Sri Petaling,Condominium,3,1,2,888,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi KepongMas,2020,1100,Kepong,Apartment,3,1,2,800,Partially Furnished,Parking,,Kuala Lumpur
Prisma Cheras,,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,"Parking, Playground, Squash Court, Security, Gymnasium, Swimming Pool, Barbeque area, Tennis Court, Sauna",,Kuala Lumpur
Perdana Puri,,1100,Kepong,Condominium,3,1,2,904,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Jogging Track",Cooking Allowed,Kuala Lumpur
Dahlia Apartment (Ampang),,1100,Ampang,Apartment,3,1,2,782,Partially Furnished,"Club house, Minimart, Gymnasium, Tennis Court, Squash Court, Barbeque area, Security, Playground, Swimming Pool",,Kuala Lumpur
Kuchai Entrepreneurs Park,,1100,Kuchai Lama,Apartment,2,,2,800,Not Furnished,Parking,Near KTM/LRT,Kuala Lumpur
Residensi Puchongmas,,1100,Puchong,Condominium,3,2,2,900,Partially Furnished,"Swimming Pool, Parking, Gymnasium, Multipurpose hall, Security",Air-Cond,Kuala Lumpur
Rampai Court,,1100,Wangsa Maju,Apartment,2,1,1,700,Fully Furnished,"Security, Barbeque area, Playground, Parking",,Kuala Lumpur
Residensi Jalilmas,,1100,Bukit Jalil,Apartment,3,,2,800,Partially Furnished,"Parking, Security, Minimart, Multipurpose hall, Lift",Near KTM/LRT,Kuala Lumpur
Winner Heights,,1100,Desa Petaling,Condominium,3,1,2,778,Not Furnished,"Security, Minimart, Gymnasium, Barbeque area, Parking, Playground, Swimming Pool, Tennis Court",,Kuala Lumpur
Dahlia Apartment (Ampang),,1100,Ampang,Apartment,3,1,2,782,Not Furnished,"Gymnasium, Barbeque area, Security, Swimming Pool, Squash Court, Minimart, Playground, Tennis Court, Club house, Parking",Near KTM/LRT,Kuala Lumpur
Flat Danau Kota,,1100,Setapak,Apartment,3,1,1,850,Not Furnished,,,Kuala Lumpur
Dahlia Apartment (Ampang),,1100,Ampang,Apartment,3,,2,787,Not Furnished,"Barbeque area, Club house, Minimart, Playground, Squash Court, Security, Swimming Pool, Gymnasium, Tennis Court",,Kuala Lumpur
Vantage Point,,1100,Desa Petaling,Condominium,3,,2,869,Partially Furnished,"Security, Tennis Court, Playground, Parking, Gymnasium, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur
Perdana Villa (Pandan Perdana),,1100,Cheras,Apartment,2,1,2,800,Not Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
Laman Midah,,1100,Cheras,Condominium,3,2,2,850,Partially Furnished,"Parking, Security, Lift, Playground, Swimming Pool, Minimart, Club house, Multipurpose hall, Jogging Track","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Sinar Magna,,1100,Kepong,Apartment,3,1,2,825,Partially Furnished,"Security, Parking, Playground, Lift",,Kuala Lumpur
Rampai Court,,1100,Wangsa Maju,Apartment,2,,1,600,Not Furnished,"Playground, Parking, Barbeque area, Security",,Kuala Lumpur
Ascadia Lake View,,1100,Ampang Hilir,Apartment,3,1,2,950,Not Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur
Pangsapuri Sri Penara,,1100,Cheras,Flat,3,,2,650,Not Furnished,"Parking, Security, Minimart, Lift, Playground","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Rampai Court,,1100,Wangsa Maju,Apartment,2,1,1,720,Partially Furnished,"Playground, Parking, Security, Lift, Barbeque area","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Pangsapuri Pandanmas 2,,1100,Desa Pandan,Apartment,3,1,2,800,Not Furnished,"Parking, Security, Lift, Minimart",Cooking Allowed,Kuala Lumpur
Flat wangsa maju seksyen 2 Blok G,,1100,Wangsa Maju,Flat,2,1,1,560,Not Furnished,"Playground, Jogging Track, Minimart","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Prisma Cheras,,1100,Cheras,Condominium,1,1,1,900,Partially Furnished,"Parking, Jogging Track, Security, Tennis Court, Lift, Swimming Pool, Gymnasium, Minimart",,Kuala Lumpur
Avant Court,,1100,Old Klang Road,Apartment,3,1,2,1173,Partially Furnished,"Sauna, Parking, Playground, Squash Court, Barbeque area, Security, Swimming Pool, Gymnasium, Lift, Minimart, Tennis Court, Jogging Track, Club house, Multipurpose hall",,Kuala Lumpur
Pangsapuri Cemara (Cheras),2002,1100,Cheras,Apartment,3,1,2,730,Partially Furnished,"Playground, Parking","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Bandar Tasik Selatan (Low Cost),,1100,Cheras,Apartment,3,,2,650,Fully Furnished,Playground,"Washing Machine, Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur
Bayu Andaman,,1100,Sentul,Apartment,3,,2,1000,Fully Furnished,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",,Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Kepong Sentral Condominium,2007,1100,Kepong,Condominium,3,,2,962,Not Furnished,"Security, Minimart, Swimming Pool, Jogging Track, Parking, Tennis Court, Squash Court, Playground, Gymnasium, Lift",Near KTM/LRT,Kuala Lumpur
Rampai Court,,1100,Wangsa Maju,Apartment,2,,1,700,Partially Furnished,"Parking, Playground, Security, Barbeque area, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Majestic Maxim,2021,1100,Cheras,Service Residence,2,1,1,650,Partially Furnished,"Jogging Track, Playground, Parking, Gymnasium, Lift, Barbeque area, Security, Swimming Pool",,Kuala Lumpur
Mandarina Court,,1100,Cheras,Apartment,3,1,2,780,Fully Furnished,"Parking, Playground, Jogging Track, Lift, Security, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Platinum OUG Residence,2021,1100,Kuchai Lama,Condominium,3,1,2,1100,Partially Furnished,"Playground, Security, Gymnasium, Lift","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Pandan Cahaya Shop Apartment,,1100,KLCC,Apartment,2,,1,605,Partially Furnished,Minimart,"Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Flat Danau Kota,,1100,Setapak,Apartment,3,,1,640,Partially Furnished,"Lift, Playground",Cooking Allowed,Kuala Lumpur
222 Residency,2013,1100,Setapak,Condominium,2,1,2,999,Not Furnished,"Parking, Gymnasium, Club house, Security, Minimart, Swimming Pool, Multipurpose hall, Playground, Jogging Track, Barbeque area, Sauna",,Kuala Lumpur
Pangsapuri Berembang Indah,,1100,Ampang,Apartment,3,1,2,650,Not Furnished,"Security, Parking, Playground",,Kuala Lumpur
,,1100,Kepong,Service Residence,3,1,2,808,Partially Furnished,"Playground, Swimming Pool, Parking, Minimart, Jogging Track, Security, Gymnasium, Lift, Multipurpose hall, Barbeque area","Cooking Allowed, Air-Cond",Kuala Lumpur
PangsaRia,,1100,Desa Petaling,Apartment,3,1,2,860,Partially Furnished,"Playground, Swimming Pool, Parking, Security",,Kuala Lumpur
Residence 8,2013,1100,Old Klang Road,Condominium,1,,1,400,Fully Furnished,"Swimming Pool, Sauna, Multipurpose hall, Gymnasium, Security, Playground, Barbeque area, Lift, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur
Casa Magna,,1100,Kepong,Condominium,3,1,2,1010,Not Furnished,"Parking, Swimming Pool, Security, Barbeque area, Playground",,Kuala Lumpur
Flat Danau Kota,,1100,Setapak,Apartment,3,,2,700,Not Furnished,"Parking, Lift, Minimart",Cooking Allowed,Kuala Lumpur
Abadi Indah,,1100,Taman Desa,Condominium,3,1,2,950,Partially Furnished,"Parking, Minimart, Security, Playground, Swimming Pool, Squash Court, Gymnasium, Tennis Court",,Kuala Lumpur
Perumahan Penjawat Awam 1 Malaysia (PPA1M) Bukit Jalil,2018,1100,Bukit Jalil,Apartment,3,1,2,1000,Not Furnished,"Parking, Swimming Pool, Security, Minimart, Jogging Track",,Kuala Lumpur
1 Petaling,2012,1100,Sungai Besi,Condominium,3,1,2,904,Partially Furnished,"Barbeque area, Security, Swimming Pool, Multipurpose hall, Playground, Jogging Track, Parking, Lift, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur
Residensi Suria Pantai,2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",,Kuala Lumpur
Sri Suajaya Condominiums,1996,1100,Sentul,Condominium,3,1,2,1200,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium, Sauna, Multipurpose hall, Club house, Jogging Track, Tennis Court","Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Residensi Seri Wahyu @ Jalan Kuching KL,,1100,KL City,Apartment,3,1,2,805,Partially Furnished,"Parking, Lift, Playground, Swimming Pool, Security, Minimart, Gymnasium, Barbeque area, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Kuala Lumpur
Pangsapuri Cemara (Cheras),2002,1100,Cheras,Apartment,3,1,2,750,Partially Furnished,"Parking, Security, Minimart, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur
De Tropicana,,1100,Kuchai Lama,Condominium,3,1,2,968,Partially Furnished,"Parking, Security, Tennis Court, Minimart, Gymnasium, Barbeque area, Playground, Swimming Pool, Squash Court, Sauna, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur
Plaza Medan Putra,,1100,Kepong,Service Residence,3,1,2,811,Partially Furnished,"Gymnasium, Parking, Minimart, Swimming Pool, Security, Playground, Lift",,Kuala Lumpur
Residensi Razakmas,,1100,Cheras,Apartment,3,1,2,850,Partially Furnished,,,Kuala Lumpur
Casa Magna,,1100,Kepong,Apartment,3,1,2,950,Partially Furnished,"Playground, Barbeque area, Parking, Swimming Pool, Security, Lift, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur
