prop_name,completion_year,monthly_rent,location,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,region
The Academia @ South City Plaza,,350,Seri Kembangan,Service Residence,3,,2,1000,Fully Furnished,"Playground, Swimming Pool, Squash Court, Jogging Track, Barbeque area, Tennis Court, Multipurpose hall, Minimart, Gymnasium, Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor
Sri Dahlia Apartment (Kajang),2004,370,Kajang,Apartment,4,1,2,999,Fully Furnished,"Security, Swimming Pool, Lift, Playground, Multipurpose hall, Minimart, Jogging Track, Parking","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Pangsapuri Mutiara (Balakong Jaya),,380,Cheras,Apartment,3,,2,741,Fully Furnished,"Barbeque area, Parking, Playground",,Selangor
Flora Damansara,2015,380,Damansara Perdana,Condominium,3,1,2,850,Partially Furnished,"Security, Lift, Playground, Minimart, Jogging Track","Cooking Allowed, Washing Machine, Internet",Selangor
Flora Damansara,2015,380,Damansara Perdana,Condominium,3,1,2,850,Partially Furnished,"Security, Lift, Playground, Minimart, Jogging Track","Cooking Allowed, Washing Machine, Internet",Selangor
Sri Embun Apartment,,390,Petaling Jaya,Apartment,4,,2,878,Fully Furnished,"Security, Parking, Lift, Playground, Jogging Track","Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor
Desa Putra (Wangsa Maju),2007,400,Wangsa Maju,Condominium,4,,2,1246,Fully Furnished,"Security, Playground, Lift, Swimming Pool, Gymnasium, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur
Avenue Crest,,400,Shah Alam,Service Residence,5,,1,900,Partially Furnished,"Lift, Multipurpose hall",,Selangor
Palma Apartment (Bandar Country Homes),,400,Rawang,Apartment,3,,2,650,Not Furnished,,,Selangor
,,400,Kajang,Flat,2,,1,550,Not Furnished,,Cooking Allowed,Selangor
Taman Asa Jaya,,400,Kajang,Apartment,2,,1,484,Not Furnished,,Cooking Allowed,Selangor
BSP Skypark,,400,Bandar Saujana Putra,Condominium,3,2,2,1004,Partially Furnished,,,Selangor
Rumah Pangsa Seri Ros,,400,Rawang,Flat,3,,1,500,Not Furnished,Parking,,Selangor
